time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day,new_recoveries
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,1,0,1,0,0,0
2020-02-26,1,0,1,0,0,0
2020-02-27,1,0,1,0,0,0
2020-02-28,1,0,1,0,0,0
2020-02-29,2,1,2,0,0,0
2020-03-01,2,0,2,0,0,0
2020-03-02,2,0,2,0,0,0
2020-03-03,2,0,2,0,0,0
2020-03-04,3,1,3,0,0,0
2020-03-05,8,5,8,0,0,0
2020-03-06,13,5,13,0,0,0
2020-03-07,19,6,19,0,0,0
2020-03-08,25,6,25,0,0,0
2020-03-09,25,0,25,0,0,0
2020-03-10,34,9,34,0,0,0
2020-03-11,52,18,52,0,0,0
2020-03-12,77,25,77,0,0,0
2020-03-13,151,74,150,0,0,1
2020-03-14,151,0,150,0,0,0
2020-03-15,200,49,198,0,0,1
2020-03-16,234,34,232,0,0,0
2020-03-17,346,112,343,1,1,0
2020-03-18,529,183,523,4,3,0
2020-03-19,640,111,631,7,3,0
2020-03-20,970,330,957,11,4,0
2020-03-21,1178,208,1158,18,7,0
2020-03-22,1546,368,1519,25,7,0
2020-03-23,1924,378,1888,34,9,0
2020-03-24,2247,323,2199,46,12,0
2020-03-25,2554,307,2493,59,13,0
2020-03-26,2985,431,2902,77,18,4
2020-03-27,3417,432,3319,92,15,0
2020-03-28,3904,487,3784,114,22,0
2020-03-29,4256,352,4114,136,22,0
2020-03-30,4630,374,4347,163,27,114
2020-03-31,5717,1087,5389,201,38,7
2020-04-01,6880,1163,6511,242,41,0
2020-04-02,8044,1164,7593,324,82,0
2020-04-03,9194,1150,8704,363,39,0
2020-04-04,10360,1166,9788,445,82,0
2020-04-05,11254,894,10641,486,41,0
2020-04-06,12183,929,11492,564,78,0
2020-04-07,14034,1851,13221,686,122,0
2020-04-08,16188,2154,15241,820,134,0
2020-04-09,18145,1957,17018,954,134,46
2020-04-10,19789,1644,18548,1068,114,0
2020-04-11,20962,1173,19649,1140,72,0
2020-04-12,22192,1230,20796,1223,83,0
2020-04-13,23430,1238,21929,1328,105,0
2020-04-14,25262,1832,9704,1532,204,13853
2020-04-15,28610,3348,12827,1757,225,0
2020-04-16,30683,2073,14710,1947,190,0
2020-04-17,33682,2999,17515,2141,194,0
2020-04-18,36722,3040,20335,2361,220,0
2020-04-19,38654,1932,14062,2462,101,8104
2020-04-20,40743,2089,16026,2587,125,0
2020-04-21,43079,2336,16013,2741,154,2195
2020-04-22,45757,2678,17533,2906,165,993
2020-04-23,49492,3735,19606,3313,407,1255
2020-04-24,52995,3503,21670,3670,357,1082
2020-04-25,59196,6201,25991,4045,375,1505
2020-04-26,62859,3663,28436,4271,226,992
2020-04-27,66501,3642,30816,4543,272,990
2020-04-28,72899,6398,35292,5063,520,1402
2020-04-29,79361,6462,39718,5511,448,1588
2020-04-30,85380,6019,43544,5901,390,1803
2020-05-01,92109,6729,47660,6410,509,2104
2020-05-02,96559,4450,48872,6750,340,2898
2020-05-03,101147,4588,51131,7025,275,2054
2020-05-04,108266,7119,55108,7343,318,2824
2020-05-05,114715,6449,58573,7921,578,2406
2020-05-06,126611,11896,66653,8588,667,3149
2020-05-07,135693,9082,71155,9188,600,3980
2020-05-08,145892,10199,76603,9992,804,3947
2020-05-09,156061,10169,83720,10656,664,2388
2020-05-10,162699,6638,86619,11123,467,3272
2020-05-11,169143,6444,90134,11625,502,2427
2020-05-12,177602,8459,92601,12404,779,5213
2020-05-13,189157,11555,97575,13158,754,5827
2020-05-14,202918,13761,109446,13993,835,1055
2020-05-15,218223,15305,118436,14817,824,5491
2020-05-16,233142,14919,127837,15633,816,4702
2020-05-17,241080,7938,130840,16118,485,4450
2020-05-18,255368,14288,138056,16853,735,6337
2020-05-19,271885,16517,147108,17983,1130,6335
2020-05-20,293357,21472,157780,18894,911,9889
2020-05-21,310921,17564,164879,20082,1188,9277
2020-05-22,330890,19969,174412,21048,966,9470
2020-05-23,347398,16508,182798,22013,965,7157
2020-05-24,363618,16220,190991,22716,703,7324
2020-05-25,376669,13051,199314,23522,806,3922
2020-05-26,392360,15691,209218,24549,1027,4760
2020-05-27,414661,22301,222317,25697,1148,8054
2020-05-28,438812,24151,218867,26764,1067,26534
2020-05-29,468338,29526,247213,27944,1180,0
2020-05-30,498440,30102,264235,28834,890,12190
2020-05-31,514849,16409,278980,29314,480,1184
2020-06-01,529405,14556,288279,30046,732,4525
2020-06-02,556668,27263,284763,31278,1232,29547
2020-06-03,583980,27312,285301,32547,1269,25505
2020-06-04,615870,31890,306834,34039,1492,8865
2020-06-05,646006,30136,322307,35047,1008,13655
2020-06-06,673587,27581,335546,35957,910,13432
