time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day,new_recoveries
2020-02-15,1,0,0,0,0,0
2020-02-16,1,0,0,0,0,0
2020-02-17,1,0,0,0,0,0
2020-02-18,1,0,0,0,0,0
2020-02-19,1,0,0,0,0,0
2020-02-20,1,0,0,0,0,0
2020-02-21,1,0,0,0,0,0
2020-02-22,1,0,0,0,0,0
2020-02-23,1,0,0,0,0,0
2020-02-24,1,0,0,0,0,0
2020-02-25,1,0,0,0,0,0
2020-02-26,1,0,0,0,0,0
2020-02-27,1,0,0,0,0,0
2020-02-28,1,0,0,0,0,0
2020-02-29,1,0,0,0,0,0
2020-03-01,2,1,1,0,0,0
2020-03-02,8,6,7,0,0,0
2020-03-03,15,7,14,0,0,0
2020-03-04,23,8,22,0,0,0
2020-03-05,50,27,49,0,0,0
2020-03-06,109,59,108,0,0,0
2020-03-07,169,60,168,0,0,0
2020-03-08,200,31,199,0,0,0
2020-03-09,239,39,238,0,0,0
2020-03-10,267,28,266,0,0,0
2020-03-11,314,47,312,1,1,0
2020-03-12,399,85,394,4,3,0
2020-03-13,559,160,553,5,1,0
2020-03-14,689,130,680,8,3,0
2020-03-15,886,197,872,13,5,0
2020-03-16,1058,172,1038,19,6,0
2020-03-17,1243,185,1199,30,11,13
2020-03-18,1486,243,1415,40,10,17
2020-03-19,1795,309,1568,62,22,134
2020-03-20,2257,462,1958,95,33,39
2020-03-21,2815,558,2421,131,36,59
2020-03-22,3401,586,2967,171,40,0
2020-03-23,3743,342,3124,218,47,138
2020-03-24,4269,526,3512,296,78,60
2020-03-25,4937,668,4018,372,76,86
2020-03-26,6235,1298,5081,479,107,128
2020-03-27,7284,1049,5845,581,102,183
2020-03-28,9134,1850,7362,709,128,205
2020-03-29,10836,1702,8627,850,141,296
2020-03-30,11899,1063,9373,999,149,168
2020-03-31,12775,876,9910,1169,170,169
2020-04-01,13964,1189,10455,1377,208,436
2020-04-02,15348,1384,11244,1609,232,363
2020-04-03,16770,1422,12070,1828,219,377
2020-04-04,18431,1661,13120,2064,236,375
2020-04-05,19691,1260,13606,2334,270,504
2020-04-06,20814,1123,14248,2580,246,235
2020-04-07,22194,1380,15200,2837,257,171
2020-04-08,23403,1209,15608,3114,277,524
2020-04-09,24983,1580,16384,3435,321,483
2020-04-10,26667,1684,17393,3706,271,404
2020-04-11,28018,1351,18024,4008,302,418
2020-04-12,29647,1629,18891,4293,285,477
2020-04-13,30589,942,19324,4558,265,244
2020-04-14,31119,530,19416,4835,277,161
2020-04-15,33573,2454,21370,5096,261,239
2020-04-16,34809,1236,21871,5376,280,455
2020-04-17,36138,1329,22555,5622,246,399
2020-04-18,37183,1045,23008,5827,205,387
2020-04-19,38496,1313,23704,6035,208,409
2020-04-20,39983,1487,24863,6225,190,138
2020-04-21,40956,973,25523,6431,206,107
2020-04-22,41889,933,25822,6634,203,431
2020-04-23,42797,908,26182,6815,181,367
2020-04-24,44293,1496,27198,6973,158,322
2020-04-25,45325,1032,27778,7130,157,295
2020-04-26,46134,809,28076,7273,143,368
2020-04-27,46687,553,28382,7427,154,93
2020-04-28,47334,647,28829,7562,135,65
2020-04-29,47859,525,28904,7672,110,340
2020-04-30,48519,660,29164,7779,107,293
2020-05-01,49032,513,29274,7866,87,316
2020-05-02,49517,485,29346,7960,94,319
2020-05-03,49906,389,29562,8035,75,98
2020-05-04,50267,361,29760,8129,94,69
2020-05-05,50509,242,29844,8224,95,63
2020-05-06,50781,272,29744,8306,82,290
2020-05-07,51420,639,30058,8382,76,249
2020-05-08,52011,591,30357,8453,71,221
2020-05-09,52596,585,30658,8527,74,210
2020-05-10,53081,485,30841,8598,71,231
2020-05-11,53449,368,31082,8670,72,55
2020-05-12,53779,330,31312,8735,65,35
2020-05-13,53981,202,31264,8780,45,205
2020-05-14,54288,307,31341,8836,56,174
2020-05-15,54644,356,31464,8879,43,190
2020-05-16,54989,345,31605,8924,45,159
2020-05-17,55280,291,31696,8954,30,170
2020-05-18,55559,279,31917,8985,31,27
2020-05-19,55791,232,32082,9022,37,30
2020-05-20,55983,192,32081,9055,33,160
2020-05-21,56235,252,32162,9085,30,141
2020-05-22,56511,276,32269,9119,34,135
2020-05-23,56810,299,32495,9160,41,32
2020-05-24,57092,282,32635,9185,25,117
2020-05-25,57342,250,32827,9218,33,25
2020-05-26,57455,113,32891,9244,26,23
2020-05-27,57592,137,32859,9268,24,145
2020-05-28,57849,257,32984,9293,25,107
2020-05-29,58061,212,33060,9319,26,110
2020-05-30,58186,125,33082,9335,16,87
2020-05-31,58381,195,33136,9358,23,118
2020-06-01,58517,136,33218,9380,22,32
2020-06-02,58615,98,33280,9401,21,15
2020-06-03,58685,70,33302,9424,23,25
2020-06-04,58767,82,33275,9444,20,89
2020-06-05,58907,140,33337,9458,14,64
2020-06-06,59072,165,33412,9470,12,78
2020-06-07,59226,154,33454,9481,11,101
2020-06-08,59348,122,33540,9493,12,24
2020-06-09,59437,89,33611,9502,9,9
2020-06-10,59569,132,33663,9514,12,68
2020-06-11,59711,142,33732,9526,12,61
2020-06-12,59819,108,33788,9533,7,45
2020-06-13,59918,99,33828,9543,10,49
2020-06-14,60029,111,33892,9548,5,42
2020-06-15,60100,71,33939,9551,3,21
2020-06-16,60155,55,33971,9559,8,15
2020-06-17,60244,89,33994,9566,7,59
2020-06-18,60348,104,34051,9573,7,40
